Unnamed: 0,activity_id,assists,date,game_N,k_d,map_hash,map_name,map_path,pclass,play_time,player,score,standing,team,kills,deaths,rezzes,rezzed,orbs_gen,orbs_gath,long_life,avg_life,max_k_spree,best_weap,avg_k_dist,first_blood,never_say_die,from_the_brink,back_in_action,wrecking_ball,ace,close_call,annil,ar_kills,ar_hshots,hc_kills,hc_hshots,pr_kills,pr_hshots,scout_kills,scout_hshots,sniper_kills,sniper_hshots,shotg_kills,shotg_hshots,fr_kills,side_kills,rocket_kills,hmg_kills,melees,grenades,supers,alleg,n_primary,n_special,n_heavy,n_abil,n_supers,points
10,5100843302.0,4.0,2016-06-12T00:20:02Z,1.0,1.14285714286,4260139097.0,Pantheon,/img/theme/destiny/bgs/pgcrs/crucible_pantheon.jpg,Hunter,734.0,igordennis,4.0,Defeat,Alpha,8.0,7.0,3.0,1.0,0.0,2.0,69.0,91.375,3.0,8.0,29.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,us,1.0,5.0,0.0,0.0,2.0,319.0
11,5100843302.0,3.0,2016-06-12T00:20:02Z,1.0,0.714285714286,4260139097.0,Pantheon,/img/theme/destiny/bgs/pgcrs/crucible_pantheon.jpg,Warlock,734.0,XpLiCiTOnE,4.0,Defeat,Alpha,5.0,7.0,4.0,1.0,2.0,0.0,91.0,91.625,2.0,2.0,14.2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,us,3.0,0.0,0.0,1.0,1.0,11.0
12,5100881734.0,2.0,2016-06-12T00:35:19Z,2.0,1.2,4260139097.0,Pantheon,/img/theme/destiny/bgs/pgcrs/crucible_pantheon.jpg,Titan,477.0,JohnOfMars,5.0,Victory,Alpha,6.0,5.0,1.0,4.0,2.0,0.0,51.0,79.0,4.0,9.0,12.6666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,us,0.0,2.0,3.0,0.0,1.0,239.0
13,5100881734.0,1.0,2016-06-12T00:35:19Z,2.0,4.0,4260139097.0,Pantheon,/img/theme/destiny/bgs/pgcrs/crucible_pantheon.jpg,Hunter,477.0,igordennis,5.0,Victory,Alpha,12.0,3.0,4.0,0.0,1.0,0.0,67.0,118.5,6.0,8.0,27.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,us,2.0,6.0,0.0,2.0,2.0,1033.0
14,5100881734.0,3.0,2016-06-12T00:35:19Z,2.0,1.25,4260139097.0,Pantheon,/img/theme/destiny/bgs/pgcrs/crucible_pantheon.jpg,Warlock,477.0,XpLiCiTOnE,5.0,Victory,Alpha,5.0,4.0,2.0,3.0,0.0,0.0,54.0,95.2,2.0,8.0,32.8,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,us,1.0,3.0,0.0,1.0,0.0,285.0
15,5100881734.0,0.0,2016-06-12T00:35:19Z,2.0,0.75,4260139097.0,Pantheon,/img/theme/destiny/bgs/pgcrs/crucible_pantheon.jpg,Warlock,477.0,lylansin,1.0,Defeat,Bravo,6.0,8.0,1.0,3.0,1.0,0.0,62.0,52.7777777778,2.0,1.0,19.8333333333,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,them,2.0,3.0,0.0,0.0,1.0,-139.0
16,5100881734.0,0.0,2016-06-12T00:35:19Z,2.0,0.222222222222,4260139097.0,Pantheon,/img/theme/destiny/bgs/pgcrs/crucible_pantheon.jpg,Hunter,477.0,Brodieskullz06,1.0,Defeat,Bravo,2.0,9.0,2.0,3.0,0.0,0.0,63.0,47.2,1.0,4.0,23.5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,them,1.0,0.0,0.0,1.0,0.0,-614.0
17,5100881734.0,0.0,2016-06-12T00:35:19Z,2.0,0.666666666667,4260139097.0,Pantheon,/img/theme/destiny/bgs/pgcrs/crucible_pantheon.jpg,Hunter,477.0,BruthaBacca_Fish,1.0,Defeat,Bravo,4.0,6.0,4.0,1.0,0.0,0.0,43.0,67.4285714286,4.0,1.0,10.5,0.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,them,3.0,0.0,0.0,0.0,1.0,-88.0
18,5100910939.0,2.0,2016-06-12T00:44:02Z,3.0,4.0,4260139097.0,Pantheon,/img/theme/destiny/bgs/pgcrs/crucible_pantheon.jpg,Titan,416.0,JohnOfMars,5.0,Victory,Alpha,4.0,0.0,3.0,0.0,2.0,0.0,98.0,413.0,4.0,3.0,7.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,us,1.0,1.0,0.0,1.0,1.0,541.0
19,5100910939.0,2.0,2016-06-12T00:44:02Z,3.0,2.66666666667,4260139097.0,Pantheon,/img/theme/destiny/bgs/pgcrs/crucible_pantheon.jpg,Hunter,416.0,igordennis,5.0,Victory,Alpha,8.0,3.0,0.0,3.0,0.0,0.0,97.0,103.25,3.0,1.0,37.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,us,4.0,1.0,0.0,1.0,0.0,602.0
20,5100910939.0,4.0,2016-06-12T00:44:02Z,3.0,5.0,4260139097.0,Pantheon,/img/theme/destiny/bgs/pgcrs/crucible_pantheon.jpg,Warlock,416.0,XpLiCiTOnE,5.0,Victory,Alpha,5.0,0.0,0.0,0.0,0.0,2.0,99.0,415.0,5.0,2.0,22.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,us,2.0,1.0,0.0,1.0,0.0,632.0
21,5100910939.0,0.0,2016-06-12T00:44:02Z,3.0,0.0,4260139097.0,Pantheon,/img/theme/destiny/bgs/pgcrs/crucible_pantheon.jpg,Hunter,416.0,AlphaWolfBushell,0.0,Defeat,Bravo,0.0,5.0,1.0,0.0,0.0,0.0,93.0,68.8333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,them,0.0,0.0,0.0,0.0,0.0,-475.0
22,5100910939.0,0.0,2016-06-12T00:44:02Z,3.0,0.0,4260139097.0,Pantheon,/img/theme/destiny/bgs/pgcrs/crucible_pantheon.jpg,Titan,416.0,andy12396,0.0,Defeat,Bravo,0.0,6.0,1.0,1.0,0.0,0.0,53.0,58.7142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,them,0.0,0.0,0.0,0.0,0.0,-563.0
23,5100910939.0,0.0,2016-06-12T00:44:02Z,3.0,0.5,4260139097.0,Pantheon,/img/theme/destiny/bgs/pgcrs/crucible_pantheon.jpg,Titan,416.0,wifi_down_XD,0.0,Defeat,Bravo,3.0,6.0,0.0,1.0,0.0,0.0,58.0,58.7142857143,1.0,8.0,0.333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,them,0.0,3.0,0.0,0.0,0.0,-288.0
